label,message
0,ola would get back maybe today told direct link us getting cars bids online arrange shipping get cut u partnership u invest money shipping takes care restuwud b self reliant soon dnt worry
0,yep like pink furniture tho
0,trust even isnt
0,sorry hurt
0,try neva mate
0,nah dub je still buff
0,im cool ta luv vtired 2 cause doin loads planning wk got social services inspection nursery take care spk sn x
0,goodmorning today late 1hr
0,tired special
0,yes princess want make happy
0,kay since already
0,wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob
0,nice day today love dearly
0,know didt msg recently
0,kkthis month kotees birthday know
1,win 200 shopping spree every week starting 2 play text store 88039 skilgme tscs08714740323 1winawk age16 150perweeksub
0,get ready ltgt inches pleasure
0,imagine life without see fast u searching medont worry lm always disturb u goodnoon
0,still coming tonight
0,gonna ring weekend wot
0,oops shower u called hey parking garage collapsed university hospital see im crazy stuff like happen
1,ur going 2 bahamas callfreefone 08081560665 speak live operator claim either bahamas cruise of2000 cash 18only opt txt x 07786200117
0,hi baby im sat bloody bus mo wont home 730 wanna somethin later call later ortxt back jess xx
0,practising curtsey
0,say slowly godi love amp need youclean heart bloodsend ten special people amp u c miracle tomorrow itplspls
0,hen night going swing
0,also bringing galileo dobby
0,eyes philosophy
0,ok cool see ya
0,sorry man stash ran dry last night cant pick sunday
0,ok least armands still around
0,haf msn yijuehotmailcom
1,gr8 poly tones 4 mobs direct 2u rply poly title 8007 eg poly breathe1 titles crazyin sleepingwith finest ymca getzedcouk pobox365o4w45wq 300p
0,aiyo please got time meh
0,sent jd customer service cum accounts executive ur mail id details contact us
0,day class class
0,went fast asleep deartake care
0,dun cut short leh u dun like ah failed shes quite sad
0,belive come home
0,sorry cant help
0,lots used ones babe model doesnt help youi bring hell match
0,dont make ne plans nxt wknd coz wants us come ok
0,sorry ill call later
0,sucks ill go u hair youll free right
0,ok wahala remember friend need
0,ugh gotta drive back sd la butt sore
0,going take bath ill place key window
0,k go sleep well take rest
0,text way cup stop work bus
0,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault im basically good
0,juz havent woke bit blur blur dad went liao cant cum oso
0,alright took morphine back yo
1,4 costa del sol holiday 5000 await collection call 09050090044 toclaim sae tc pobox334 stockport sk38xh cost150pm max10mins
0,tell need investigate anywhere
0,haha okay today weekend leh
0,submitting da project tmr rite
0,thats alrite girl u know gail neva wrongtake care sweet dont worryc u l8tr hunlove yaxxx
0,princess
0,k fyi x ride early tomorrow morning hes crashing place tonight
0,old orchard near univ
0,mon okie lor haha best cheap n gd food la ex oso okie depends whether wana eat western chinese food den u prefer
0,kkyesterday cbe
0,many people seems special first sight remain special till last sight maintain till life ends take cr da
0,4 lets go bill millers
0,think far find check google maps place dorm
1,hi lucy hubby meetins day fri b alone hotel u fancy cumin pls leave msg 2day 09099726395 lucy x calls1minmobsmorelkpobox177hp51fl
0,huh means computational science like dat one push n
0,hey hunonbus goin 2 meet wants 2go 4a meal donyt feel like cuz 2 get last bus homebut hes sweet latelyxxx
0,still chance search hard get itlet try
1,2p per min call germany 08448350055 bt line 2p per min check planettalkinstantcom info ts cs text stop opt
1,updatenow 12mths half price orange line rental 400minscall mobileupd8 08000839402 call2optoutj5q
0,message sent askin ltgt dollars shoul pay ltgt ltgt
0,hiya u paying money account thanks got pleasant surprise checked balance u c dont get statements 4 acc
0,dont search love let love find u thats called falling love bcoz u dont force u fall u know smeone hold u bslvyl
0,mm yes dear look hugging p
0,love set soul fire spark flame big rawring flame xoxo
0,wifehow knew time murder exactly
0,yup thk e shop closes lor
0,ur paper e morn aft tmr
0,dont shall buy one dear
0,would u fuckin believe didnt know thurs pre booked cancelled needs b sacked
0,dropped em omw back
0,im always yahoo messenger send message ill get may send mobile mode sha ill get reply
0,lol made plans new years
0,project pa come
0,go fool dont cheat others ok
0,r u sam p eachother meet go 2 house
0,says hi get ass back south tampa preferably kegger
1,great news call freefone 08006344447 claim guaranteed 1000 cash 2000 gift speak live operator
1,thank winner notified sms good luck future marketing reply stop 84122 customer services 08450542832
0,told going got drunk
0,get cash together ill text jason
0,love u 2 babe r u sure everything alrite idiot txt bak girlie
0,ambrithmaduraimet u arun dha marrgeremembr
0,today iz yellow rose day u love frndship give 1 misscall amp send ur frndz amp see many miss calls u get u get 6missed u marry ur lover
0,watching tv lor funny bluff 4 wat izzit thk impossible us
0,went ur hon lab one
0,isnt frnd necesity life imagine urself witout frnd hwd u feel ur colleg watll u wth ur cell wat abt functions thnk abt events espell cared missed amp irritated u 4wrd dearloving frnds wthout u cant live jst takecare goodmorning
0,ok lor
0,okies ill go yan jiu skip ard oso go cine den go mrt one blah blah blah
0,sell well tons coins sell coins someone thru paypal voila money back life pockets
1,last chance claim ur 150 worth discount vouchers today text shop 85023 savamob offers mobile cs savamob pobox84 m263uz 300 sub 16
0,also didnt get na hi hi hi hi hi
0,dont necessarily expect done get back though im headin
0,treasure every moment spend together
0,mind ask happened dont say uncomfortable
1,sms auction nokia 7250i get win free auction take part send nokia 86021 hgsuite3422lands roww1jhl 16
0,hi mobile ltgt added contact list wwwfullonsmscom great place send free sms people visit fullonsmscom
0,im workin get job
1,sunshine quiz wkly q win top sony dvd player u know country liverpool played mid week txt ansr 82277 150 sptyrone
0,alex knows guy sells mids hes south tampa dont think could set like 8
0,ffffffffff alright way meet sooner
0,never nothing
0,call u finish come n pick u
0,hey babe u doin wot u 2 2nite love annie x
0,going dinnermsg
0,one best dialogue cute reltnship wen die dont come near body bcoz hands may come 2 wipe ur tears timegud ni8
1,congrats 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss
0,jokin oni lar busy wun disturb
0,ah poop looks like ill prob send laptop get fixed cuz gpu problem
1,reply name address receive post weeks completely free accommodation various global locations wwwphb1com ph08700435505150p
0,kent vale lor wait 4 ar
0,thanx
0,thats significant dont worry
0,time ur flight tmr
0,log 4 wat sdryb8i
0,wanted wish happy new year wanted talk legal advice gary split person ill make trip ptbo hope everything good babe love ya
0,ceri u rebel sweet dreamz little buddy c ya 2moro needs blokes
1,dont forget place many free requests 1stchoicecouk wish information call 08707808226
0,dad says hurry hell
1,forwarded 21870000hi mailbox messaging sms alert 40 matches please call back 09056242159 retrieve messages matches cc100pmin
0,break time one come n get stuff fr
0,que pases un buen tiempo something like
0,notice like looking shit mirror youre turning right freak
0,anyone calls treadmill say youll buy make sure working found ad craigslist selling ltgt
0,btw regarding really try see anyone else 4th guy commit random dude
0,true easier
0,wat r u
0,good morning dear great amp successful day
0,taking italian food pretty dress panties
0,normally hot mail com see
0,ugh hopefully asus ppl dont randomly reformat
0,good afternoon babe goes day job prospects yet miss love sighs
0,er enjoyin indians moyep sall good hehe hows bout u shexy pete xx
0,course maths one day one chapter one month finish
0,k call ah
0,enjoy ur life good night
1,hard live 121 chat 60pmin choose girl connect live call 09094646899 cheap chat uks biggest live service vu bcm1896wc1n3xx
1,1 new message please call 08715205273
1,u 447801259231 secret admirer looking 2 make contact ufind rreveal thinks ur specialcall 09058094597
0,call 1010 make sure dat ive woken
0,photoshop makes computer shut
0,ki send ltgt min
0,ready big day tomorrow
0,dont forget owns whos private property good boy always passionate kiss
0,bognor splendid time year
0,march ending ready call sure problem capital never complete far hows work ladies
1,guaranteed 32000 award maybe even 1000 cash claim ur award call free 0800 18 legitimat efreefone number wat u think
0,ta jobs available let know please cos really need start working
0,yes baby study positions kama sutra
0,called one pick e phone ask already said ok
0,ill leave around four ok
1,camera awarded sipix digital camera call 09061221066 fromm landline delivery within 28 days
1,free 1st week no1 nokia tone 4 ur mob every week txt nokia 8007 get txting tell ur mates wwwgetzedcouk pobox 36504 w45wq norm150ptone 16
0,lunchyou onlinewhy
0,im gonnamissu muchi would say il send u postcard buttheres aboutas much chance merememberin asthere ofsi breakin contract luv yaxx
0,im da intro covers energy trends n pros n cons brief description nuclear fusion n oso brief history iter n jet got abt 7 n half pages
1,sim subscriber selected receive bonus get delivered door txt word ok 88600 claim 150pmsg exp 30apr
0,planned yet going join company jan 5 onlydon know happen
0,cal sir meeting
0,u love someone dont make love u much u love much dont want loved anyone except gud nit
1,dont prize go another customer tc wwwtcbiz 18 150pmin polo ltd suite 373 london w1j 6hl please call back busy
1,natalie 20f inviting friend reply yes165 no165 see wwwsmsacunatalie2k9 stop send stop frnd 62468
0,wana plan trip sometme
0,alright see bit
0,thanx 4 time weve spent 2geva bin mint ur baby want uxxxx
0,spare power supplies
0,good night dear sleepwellamptake care
0,hello beautiful r u ok ive kinda ad row wiv walked pub wanted night wiv u miss u
0,oh baby house come dont new pictures facebook
0,beautiful truth gravity read carefully heart feels light someone feels heavy someone leaves goodmorning
0,mm ask come enough
0,got new year cos yetunde said wanted surprise didnt see money returned mid january ltgt day return period ended
1,urgent call 09066649731from landline complimentary 4 ibiza holiday 10000 cash await collection sae tcs po box 434 sk3 8wp 150ppm 18
0,dear free messages without recharge hi hi hi
0,much getting
0,u got persons story
0,yes trust u buy new stuff asap try
0,purity friendship two smiling reading forwarded messageits smiling seeing name gud evng
0,good time nice something bit different weekends change see ya soon
0,ill give plus said grinule greet whenever speak
0,fran decided 2 go n e way im completely broke knackered got bout 3 c u 2mrw love janx ps dads fone credit
0,attended nothing
0,dear ok
0,angry happen dear
0,surely result offer
1,ur cashbalance currently 500 pounds maximize ur cashin send cash 86688 150pmsg cc 08708800282 hgsuite3422lands roww1j6hl
0,check rooms befor activities
0,cant pick phone right pls send message
0,ok found dis pierre cardin one looks normal costs 20 sale
0,yeshe really greatbhaji told kallis best cricketer sachin worldvery tough get
0,yeah sure give couple minutes track wallet
0,going sleep tired travel
1,romantic paris 2 nights 2 flights 79 book 4 next year call 08704439680tscs apply
0,haha heard text youre around
0,todaysundaysunday holidayso work
0,didnt search online let know
0,able anything
0,kaiez enjoy ur tuition gee thk e second option sounds beta ill go yan jiu den msg u
0,received understood n acted upon
0,opposite side dropped
0,pa tell went bath
0,sorry ill call later
0,come back tampa ffffuuuuuuu
1,unique user id 1172 removal send stop 87239 customer services 08708034412
0,cool ill text im way
0,hows watch resizing
0,tell reached
0,thats cool gentleman treat dignity respect
0,really getting hanging around
1,urgent ur awarded complimentary trip eurodisinc trav acoentry41 1000 claim txt dis 87121 186150morefrmmob shracomorsglsuplt10 ls1 3aj
0,holding
0,dont think turns like randomlly within 5min opening
0,dunno lei might b eatin wif frens wan eat wait 4 lar
0,dont plan staying night prolly wont back til late
0,ok im waliking ard u wan 2 buy anything go ur house
